RMSE,MAE,SMAPE,R2,variant,test_battery
0.1147403841849696,0.0944425253585687,34.76184608442311,0.8477368016739374,SAN_noTCN_3SVR,B0029
0.3490081893759324,0.28439554706579834,61.4170996227253,-0.40874888062560144,SAN_TCN_1SVR,B0029
0.11558368805474924,0.09655807862313584,33.1522304559643,0.8454904084919281,SAN_TCN_3SVR,B0030
0.11216655619577899,0.09191758017696514,34.09801152899418,0.8544912463331662,NoSAN_TCN_3SVR,B0030
0.09698858901890811,0.08272811518899477,31.705387935621296,0.8912063290192044,PCA_TCN_3SVR,B0030
0.10347297952166581,0.08716729977606189,31.364909460731006,0.8761727413726692,WHITEN_TCN_3SVR,B0030
0.11220409308673308,0.09193297852025153,34.09962933066935,0.8543938401127512,SAN_noTCN_3SVR,B0030
0.2865219807804895,0.23559268963922322,56.21659988742086,0.05053657777979681,SAN_TCN_1SVR,B0030
0.11368637250920555,0.09310510553984383,34.89681786140072,0.8505213498999331,SAN_TCN_3SVR,B0031
0.11368637250920555,0.09310510553984383,34.89681786140072,0.8505213498999331,NoSAN_TCN_3SVR,B0031
0.10011293917920712,0.08414285298391554,31.088629152866055,0.8840841638442981,PCA_TCN_3SVR,B0031
0.1007533579790171,0.08561828741495055,31.367628735510504,0.8825964017319269,WHITEN_TCN_3SVR,B0031
0.11375818123656053,0.09314235674749198,34.91946833768193,0.8503324572233791,SAN_noTCN_3SVR,B0031
0.3754464030945924,0.29155024129941665,60.162624519003614,-0.6302651493562181,SAN_TCN_1SVR,B0031
0.11158045578069248,0.09010935400345974,33.64501243058591,0.8560079181680126,SAN_TCN_3SVR,B0032
0.11158045578069248,0.09010935400345974,33.64501243058591,0.8560079181680126,NoSAN_TCN_3SVR,B0032
0.10722000895993178,0.09095021168558633,36.9363835412427,0.867042136754442,PCA_TCN_3SVR,B0032
0.10456056989835975,0.08826932736887626,31.589673011091712,0.8735559982961741,WHITEN_TCN_3SVR,B0032
0.11179958778162499,0.09025616573297109,33.67911119096051,0.8554417929195599,SAN_noTCN_3SVR,B0032
0.30307449828870286,0.24781181283714332,57.35065224212072,-0.06233413974923696,SAN_TCN_1SVR,B0032
0.09905023011293843,0.08446104914685318,28.91816203210643,0.8830722345341533,SAN_TCN_3SVR,B0033
0.11495638453029872,0.08788511709482211,31.71914799457624,0.8425027897814277,NoSAN_TCN_3SVR,B0033
0.09681168542300007,0.08160881415685887,30.614289299815795,0.8882976694056258,PCA_TCN_3SVR,B0033
0.09539017067585333,0.08106665124183998,28.325439505261265,0.891553903501402,WHITEN_TCN_3SVR,B0033
0.1147699727063801,0.08773385126583472,31.68266312108025,0.8430131666164193,SAN_noTCN_3SVR,B0033
0.28014749830394237,0.20847738217434245,49.83936798319887,0.06463703621305472,SAN_TCN_1SVR,B0033
0.10246446646288634,0.08502690264764512,28.812771383256138,0.8748723643047611,SAN_TCN_3SVR,B0034
0.10051659869998905,0.08632528323750609,29.430430690733015,0.8795845421151819,NoSAN_TCN_3SVR,B0034
0.11171601657975516,0.09420593173440703,30.875355084384513,0.8512566507693402,PCA_TCN_3SVR,B0034
0.09776512928687708,0.08403245903862322,29.422659346910475,0.8860866482898087,WHITEN_TCN_3SVR,B0034
0.10058807401321937,0.08637227017543823,29.43778345294162,0.87941323125274,SAN_noTCN_3SVR,B0034
0.23636542708777278,0.16998874068080808,43.8919984571998,0.3341527985826426,SAN_TCN_1SVR,B0034
